Tabelle: 22421-0001
Pflegebedürftige: Deutschland, Stichtag, Geschlecht,;;;;;;;;;;;;;;;
Altersgruppen, Art der Versorgung von Pflegebedürftigen;;;;;;;;;;;;;;;
Statistik über d. Empfänger v.Pflegegeldleistungen;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pflegebedürftige (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Stichtag;;;;;;;;;;;;;;;;;;;;;;;;;
;;;31.12.1999;;31.12.2001;;31.12.2003;;31.12.2005;;31.12.2007;;31.12.2009;;31.12.2011;;31.12.2013;;31.12.2015;;31.12.2017;;31.12.2019;;31.12.2021;;31.12.2023;
;;90 bis unter 95 Jahre;69848;e;70490;e;70813;e;65682;e;53485;e;47909;e;71052;e;82140;e;93112;e;110413;e;127012;e;146187;e;159364;e
;;95 Jahre und mehr;14906;e;16150;e;17045;e;19059;e;21163;e;21968;e;19518;e;15256;e;20911;e;28423;e;33190;e;38895;e;42424;e
;;Insgesamt;633971;e;612451;e;596369;e;588539;e;633450;e;649525;e;697247;e;727755;e;807160;e;1017530;e;1210158;e;1459334;e;1761519;e
;Insgesamt;unter 5 Jahre;12568;e;12229;e;11791;e;10777;e;11075;e;11384;e;11961;e;13172;e;14435;e;19495;e;27820;e;34979;e;40064;e
;;5 bis unter 10 Jahre;26667;e;23652;e;23707;e;23757;e;24078;e;24829;e;25600;e;27855;e;30940;e;42215;e;57364;e;73122;e;95296;e
;;10 bis unter 15 Jahre;28690;e;28097;e;26337;e;24064;e;24813;e;26599;e;27366;e;29190;e;31193;e;46532;e;61538;e;78538;e;96914;e
;;15 bis unter 20 Jahre;21740;e;21905;e;23104;e;23413;e;23137;e;21837;e;22214;e;23824;e;26099;e;36896;e;45794;e;55025;e;65890;e
;;20 bis unter 25 Jahre;15667;e;16052;e;16528;e;16495;e;17665;e;18061;e;19737;e;19746;e;19966;e;26204;e;32776;e;38418;e;44002;e
;;25 bis unter 30 Jahre;15543;e;14033;e;13611;e;13719;e;14597;e;14656;e;16180;e;17921;e;19771;e;23653;e;26755;e;28954;e;33540;e
;;30 bis unter 35 Jahre;19912;e;17700;e;15251;e;13438;e;12830;e;12781;e;14061;e;15445;e;17060;e;21747;e;26502;e;29604;e;32230;e
